Basin,Year,type,TRANSECT,LAYER,Interval,Lat_M,Lon_M,NperHa
CB,2021,grid,315,1,1,42.57818182,-81.08218922,730.4915499
CB,2021,grid,315,1,2,42.57432331,-81.08536576,1202.410011
CB,2021,grid,315,1,3,42.57063003,-81.08880469,1892.218028
CB,2021,grid,315,1,4,42.56687492,-81.09220828,677.8606643
CB,2021,grid,315,1,5,42.56351246,-81.09618882,946.0348047
CB,2021,grid,315,1,6,42.5601959,-81.10029403,823.8797296
CB,2021,grid,315,1,7,42.55674038,-81.1042085,1966.292904
CB,2021,grid,315,1,8,42.55324792,-81.1080058,777.4330665
CB,2021,grid,315,1,9,42.54964461,-81.11166691,3826.159412
CB,2021,grid,315,1,10,42.54599438,-81.11520243,3201.641357
CB,2021,grid,315,2,1,42.57818182,-81.08218922,415.2126018
CB,2021,grid,315,2,2,42.57432331,-81.08536576,646.5061555
CB,2021,grid,315,2,3,42.57063003,-81.08880469,737.9143175
CB,2021,grid,315,2,4,42.56687492,-81.09220828,759.1960965
CB,2021,grid,315,2,5,42.56351246,-81.09618882,795.5172845
CB,2021,grid,315,2,6,42.5601959,-81.10029403,984.2705475
CB,2021,grid,315,2,7,42.55674038,-81.1042085,1222.017189
CB,2021,grid,315,2,8,42.55324792,-81.1080058,1344.765233
CB,2021,grid,315,2,9,42.54964461,-81.11166691,1516.191282
CB,2021,grid,315,2,10,42.54599438,-81.11520243,1237.479632
CB,2021,grid,412,1,1,42.41332378,-81.58242697,903.364686
CB,2021,grid,412,1,2,42.40885732,-81.58221112,1443.388276
CB,2021,grid,412,1,3,42.40435273,-81.58207959,1183.036672
CB,2021,grid,412,1,4,42.39983783,-81.58212613,1067.59823
CB,2021,grid,412,1,5,42.39535763,-81.58266763,1225.93835
CB,2021,grid,412,1,6,42.39087832,-81.58258489,2544.928603
CB,2021,grid,412,1,7,42.38645181,-81.58304056,2694.989739
CB,2021,grid,412,1,8,42.38196666,-81.58305921,6713.394709
CB,2021,grid,412,1,9,42.37747603,-81.58313302,2677.388877
CB,2021,grid,412,1,10,42.37296731,-81.58314026,996.2898638
CB,2021,grid,412,2,1,42.41332378,-81.58242697,58.90100886
CB,2021,grid,412,2,2,42.40885732,-81.58221112,53.54611083
CB,2021,grid,412,2,3,42.40435273,-81.58207959,85.14092906
CB,2021,grid,412,2,4,42.39983783,-81.58212613,191.5847574
CB,2021,grid,412,2,5,42.39535763,-81.58266763,133.2788586
CB,2021,grid,412,2,6,42.39087832,-81.58258489,150.3395661
CB,2021,grid,412,2,7,42.38645181,-81.58304056,357.6448599
CB,2021,grid,412,2,8,42.38196666,-81.58305921,262.4521227
CB,2021,grid,412,2,9,42.37747603,-81.58313302,425.5817603
