Lat_M,Lon_M,Date_M,Time_M,LAYER,TRANSECT,FishDensity,Targets_Binned,BottomDepth,N_YAOSized,YAO_FishDens,Stratum,ScaleDensity
42.16891928,-80.20360065,###############################################################################################################################################################################################################################################################,5:40:16,LO,T1A,774.0396039,5,15.464735,0,0,1,-294.3640097
42.17591667,-80.20585,###############################################################################################################################################################################################################################################################,5:35:45,LO,T1A,3496.673399,44,17.5107,7,556.2889498,1,-183.1062198
42.18286957,-80.20817875,###############################################################################################################################################################################################################################################################,5:31:13,LO,T1A,1432.777298,43,19.308452,3,99.96120686,1,-274.3717683
42.18980995,-80.21050332,###############################################################################################################################################################################################################################################################,5:26:42,LO,T1A,517.6834433,40,20.496559,3,38.82625825,1,-286.5987581
42.19681987,-80.21277329,###############################################################################################################################################################################################################################################################,5:22:12,LO,T1A,474.0089393,34,20.947252,0,0,1,-294.3640097
42.20380179,-80.21504564,###############################################################################################################################################################################################################################################################,5:17:44,LO,T1A,861.2649802,48,20.99562,0,0,1,-294.3640097
42.21078685,-80.21736338,###############################################################################################################################################################################################################################################################,5:13:17,LO,T1A,499.1449979,56,22.941068,13,115.8729459,1,-271.1894205
42.21775885,-80.21964184,###############################################################################################################################################################################################################################################################,5:08:50,LO,T1A,1758.254935,69,23.31408,10,254.8195558,1,-243.4000986
42.22293333,-80.04433333,###############################################################################################################################################################################################################################################################,4:27:09,LO,T1B,17.96992044,1,17.367447,0,0,1,-294.3640097
42.22293333,-80.04433333,###############################################################################################################################################################################################################################################################,4:27:09,LO,T1B,17.96992044,1,17.367447,0,0,1,-294.3640097
42.22474755,-80.22189105,###############################################################################################################################################################################################################################################################,5:04:24,LO,T1A,1010.176591,54,23.607518,8,149.6557913,1,-264.4328515
42.23170853,-80.22423618,###############################################################################################################################################################################################################################################################,4:59:58,LO,T1A,2604.21692,57,22.336399,5,228.4400807,1,-248.6759936
42.23688333,-80.04895,###############################################################################################################################################################################################################################################################,4:18:07,LO,T1B,151.5028299,4,17.829867,1,37.87570749,1,-286.7888682
42.23688333,-80.04895,###############################################################################################################################################################################################################################################################,4:18:07,LO,T1B,151.5028299,4,17.829867,1,37.87570749,1,-286.7888682
42.23872628,-80.22629765,###############################################################################################################################################################################################################################################################,4:55:27,LO,T1A,1558.636709,93,22.025603,9,150.8358105,1,-264.1968476
42.23898333,-79.9875,###############################################################################################################################################################################################################################################################,7:15:07,LO,T21A,2215.155394,15,17.840492,4,590.7081049,2.1,-176.2223887
42.24346667,-80.0532524,###############################################################################################################################################################################################################################################################,4:10:33,LO,T1B,296.8876501,6,19.051482,0,0,1,-294.3640097
42.24346667,-80.0532524,###############################################################################################################################################################################################################################################################,4:10:33,LO,T1B,296.8876501,6,19.051482,0,0,1,-294.3640097
42.24573333,-80.22833333,###############################################################################################################################################################################################################################################################,4:50:51,LO,T1A,364.7451652,62,22.375463,10,58.82986536,1,-282.5980366
42.24597628,-79.98971431,###############################################################################################################################################################################################################################################################,7:19:34,LO,T21A,481.2072955,19,18.010341,8,202.6135981,2.1,-253.8412901
42.24883587,-80.05581793,###############################################################################################################################################################################################################################################################,4:02:57,LO,T1B,63.81569192,6,20.267449,2,21.27189731,1,-290.1096303
42.24883587,-80.05581793,###############################################################################################################################################################################################################################################################,4:02:57,LO,T1B,63.81569192,6,20.267449,2,21.27189731,1,-290.1096303
42.2509648,-80.23016604,###############################################################################################################################################################################################################################################################,4:45:15,LO,T1A,2365.735086,93,22.941208,11,279.8181285,1,-238.400384
42.25298274,-79.99175536,###############################################################################################################################################################################################################################################################,7:24:03,LO,T21A,742.4975953,7,18.480527,2,212.1421701,2.1,-251.9355757
42.25577588,-80.05837529,###############################################################################################################################################################################################################################################################,3:58:23,LO,T1B,97.36261829,19,21.045165,10,51.24348331,1,-284.1153131
42.25577588,-80.05837529,###############################################################################################################################################################################################################################################################,3:58:23,LO,T1B,97.36261829,19,21.045165,10,51.24348331,1,-284.1153131
42.2594964,-80.23309324,###############################################################################################################################################################################################################################################################,4:39:44,LO,T1A,1719.684787,100,21.698685,12,206.3621745,1,-253.0915748
42.26265247,-80.0610786,###############################################################################################################################################################################################################################################################,3:53:46,LO,T1B,566.2435878,103,21.995409,57,313.358102,1,-231.6923893
42.26265247,-80.0610786,###############################################################################################################################################################################################################################################################,3:53:46,LO,T1B,566.2435878,103,21.995409,57,313.358102,1,-231.6923893
42.26644944,-80.23550537,###############################################################################################################################################################################################################################################################,4:35:14,LO,T1A,936.8841535,51,21.63063,8,146.9622202,1,-264.9715657
42.26959594,-80.06352087,###############################################################################################################################################################################################################################################################,3:49:09,LO,T1B,939.8806001,212,23.040198,101,447.7733048,1,-204.8093488
42.26959594,-80.06352087,###############################################################################################################################################################################################################################################################,3:49:09,LO,T1B,939.8806001,212,23.040198,101,447.7733048,1,-204.8093488
42.27343483,-80.23783383,###############################################################################################################################################################################################################################################################,4:30:44,LO,T1A,602.2975777,63,21.436756,16,152.9644642,1,-263.7711169
42.27399626,-79.99832407,###############################################################################################################################################################################################################################################################,7:37:31,LO,T21A,306.8526441,45,22.200244,9,61.37052882,2.1,-282.089904
42.27650543,-80.0660907,###############################################################################################################################################################################################################################################################,3:44:33,LO,T1B,748.0742169,212,23.141843,123,434.0241919,1,-207.5591713
42.27650543,-80.0660907,###############################################################################################################################################################################################################################################################,3:44:33,LO,T1B,748.0742169,212,23.141843,123,434.0241919,1,-207.5591713
42.28041667,-80.24003333,###############################################################################################################################################################################################################################################################,4:26:15,LO,T1A,1443.997083,75,21.312709,9,173.2796499,1,-259.7080797
42.28095063,-80.00069466,###############################################################################################################################################################################################################################################################,7:42:04,LO,T21A,565.8457252,52,25.243947,22,239.3962683,2.1,-246.484756
