"","Basin","Year","Type","Transect","Interval","Lat_M","Lon_M","NperHa"
"1","EB",2020,"T","1a",1,42.36149454,-80.31040929,191.809295089329
"2","EB",2020,"T","1a",2,42.36861171,-80.31279279,658.707880024981
"3","EB",2020,"T","1a",3,42.3755705,-80.31506794,574.289954204019
"4","EB",2020,"T","1a",4,42.38259351,-80.31702561,647.25871453249
"5","EB",2020,"T","1a",5,42.3895259,-80.31919197,529.489183901528
"6","EB",2020,"T","1a",6,42.39644651,-80.32183773,661.610774172029
"7","EB",2020,"T","1a",7,42.40338378,-80.32428348,550.674247375642
"8","EB",2020,"T","1a",8,42.41031534,-80.32669133,675.409532578118
"9","EB",2020,"T","1a",9,42.41727746,-80.32907027,318.743505249281
"10","EB",2020,"T","1a",10,42.42424319,-80.33138662,249.899659094028
"11","EB",2020,"T","1a",11,42.43118296,-80.33379432,298.87367644618
"12","EB",2020,"T","1a",12,42.43814132,-80.33620266,230.608078935877
"13","EB",2020,"T","1a",13,42.44509335,-80.33861917,1365.10745297558
"14","EB",2020,"T","1a",14,42.45205657,-80.34096886,5810.68581920506
"15","EB",2020,"T","1a",15,42.45905564,-80.34328333,5445.03692323485
"16","EB",2020,"T","1a",16,42.46601647,-80.34557216,2750.20411667012
"17","EB",2020,"T","1a",17,42.47298333,-80.34783333,1470.76073804381
"18","EB",2020,"T","1a",18,42.47995,-80.3503,1167.77169261684
"19","EB",2020,"T","1a",19,42.48683861,-80.35282954,1078.03289513213
"20","EB",2020,"T","1a",20,42.49374256,-80.35554196,571.035870823275
"21","EB",2020,"T","1a",21,42.49926667,-80.35716667,383.624962002237
"22","EB",2020,"T","1a",22,42.50745924,-80.36044197,1083.35084990481
"23","EB",2020,"T","1a",23,42.51438279,-80.36299982,1197.08412967182
"24","EB",2020,"T","1a",24,42.52131712,-80.36538348,2046.93552415507
"25","EB",2020,"T","1a",25,42.52828183,-80.3677995,1295.98538149344
"26","EB",2020,"T","1a",26,42.53534557,-80.37038741,1869.57782364244
"27","EB",2020,"T","1a",27,42.54142077,-80.37286384,3839.32336793303
"28","EB",2020,"T","1b",1,42.52968333,-80.31048333,11344.809033598
"29","EB",2020,"T","1b",2,42.52276199,-80.30848178,1581.39873637428
"30","EB",2020,"T","1b",3,42.51576667,-80.30626667,2173.15400109193
"31","EB",2020,"T","1b",4,42.50883333,-80.30381667,1375.42895418562
"32","EB",2020,"T","1b",5,42.50184377,-80.30142014,837.833693088376
"33","EB",2020,"T","1b",6,42.49490162,-80.29906165,693.552671736279
"34","EB",2020,"T","1b",7,42.48792316,-80.29672439,1970.18539357734
"35","EB",2020,"T","1b",8,42.48095304,-80.29434546,4603.32395722427
"36","EB",2020,"T","1b",9,42.47398148,-80.29204954,1448.73036918391
"37","EB",2020,"T","1b",10,42.46696769,-80.28991701,217.459680101291
"38","EB",2020,"T","1b",11,42.46000148,-80.28765,371.956408155744
"39","EB",2020,"T","1b",12,42.45306863,-80.28531732,507.268835670084
"40","EB",2020,"T","1b",13,42.44533852,-80.28273333,559.392807480044
"41","EB",2020,"T","1b",14,42.43943333,-80.28008333,407.078406072837
"42","EB",2020,"T","1b",15,42.43253333,-80.27766667,459.645762538198
"43","EB",2020,"T","1b",16,42.42555,-80.27526667,235.182831920884
"44","EB",2020,"T","1b",17,42.41857881,-80.27292627,177.23201628448
"45","EB",2020,"T","1b",18,42.41159198,-80.27063066,236.125475656238
"46","EB",2020,"T","1b",19,42.40465,-80.26815,309.429882931964
"47","EB",2020,"T","1b",20,42.39776543,-80.2655607,125.967617050669
"48","EB",2020,"T","1b",21,42.39082033,-80.26299688,268.327790539751
"49","EB",2020,"T","1b",22,42.38391639,-80.26049435,377.073870383455
"50","EB",2020,"T","1b",23,42.37698333,-80.2579,234.797360301526
"51","EB",2020,"T","1b",24,42.37004671,-80.25538224,522.643871116472
"52","EB",2020,"R","22a",1,42.52008206,-80.0035949,270.262936221086
"53","EB",2020,"R","22a",2,42.5141265,-80.00123006,912.548167273889
"54","EB",2020,"R","22a",3,42.50705,-80.00266667,1439.58794669892
"55","EB",2020,"R","22a",4,42.4999579,-80.00422515,1917.03986994988
"56","EB",2020,"R","22a",5,42.49295108,-80.00586631,1104.57692312345
"57","EB",2020,"R","22a",6,42.48591868,-80.00768266,547.053759271861
