"","Basin","Year","Transect","Interval","Lat_M","Lon_M","NperHa"
"1","EB",2008,"58407",1,42.48792097,-80.34978477,595.755601455132
"2","EB",2008,"58407",2,42.48095588,-80.34737974,700.072742440077
"3","EB",2008,"58407",3,42.47400375,-80.34505681,779.360572715551
"4","EB",2008,"58407",4,42.46701754,-80.34280022,1546.80566865261
"5","EB",2008,"58407",5,42.46006711,-80.34056261,1997.55846753001
"6","EB",2008,"58407",6,42.45308747,-80.3382236,2501.25855752208
"7","EB",2008,"58407",7,42.44610555,-80.33592639,1553.61226614117
"8","EB",2008,"58407",8,42.43917289,-80.33342985,2221.99066679641
"9","EB",2008,"58407",9,42.43224725,-80.33096575,3429.4195880054
"10","EB",2008,"58407",10,42.42533333,-80.3284,6812.91266267758
"11","EB",2008,"58407",11,42.41832725,-80.32615353,10131.0082258766
"12","EB",2008,"58407",12,42.411337,-80.32387345,5607.42572987784
"13","EB",2008,"58407",13,42.40436901,-80.32156745,20855.1870241053
"14","EB",2008,"58407",14,42.39737517,-80.31926394,12749.75669906
"15","EB",2008,"58407",15,42.39038333,-80.31698333,10538.6960141329
"16","EB",2008,"58407",16,42.38340711,-80.31470178,10754.8034546285
"17","EB",2008,"58407",17,42.37642324,-80.31251667,11308.0890657268
"18","EB",2008,"58407",18,42.36938889,-80.31029074,9871.52711293592
"19","EB",2008,"58407",19,42.36244701,-80.30807678,9921.86241902298
"20","EB",2008,"58407",20,42.35539934,-80.305854,13488.9137552952
"21","EB",2008,"58407",21,42.3484,-80.30361667,29938.0043465546
"22","EB",2008,"58407",22,42.34142265,-80.30143533,25995.239991649
"23","EB",2008,"58407",23,42.33442734,-80.29926467,9315.08646997182
"24","EB",2008,"58407",24,42.32744445,-80.29709259,3319.17135200184
"25","EB",2008,"58407",25,42.32044108,-80.29490258,2802.71718379545
"26","EB",2008,"58407",26,42.31346391,-80.29271575,2473.3585819392
"27","EB",2008,"58407",27,42.30646716,-80.29046679,828.43260200748
"28","EB",2008,"58407",28,42.29951088,-80.28827029,764.931503223222
"29","EB",2008,"58407",29,42.29249695,-80.28611565,764.654404664635
"30","EB",2008,"58407",30,42.28548575,-80.28376747,1612.74773421925
"31","EB",2008,"58407",31,42.27855358,-80.28155,2564.56003849183
"32","EB",2008,"58407",32,42.27155341,-80.27922336,4545.73896741809
"33","EB",2008,"58407",33,42.26457877,-80.27694292,1675.68814650405
"34","EB",2008,"58407",34,42.25761058,-80.27462019,1278.08080210356
"35","EB",2008,"58407",35,42.25063333,-80.27236667,1705.66963118405
"36","EB",2008,"58407",36,42.2435887,-80.27021667,1613.94972263558
"37","EB",2008,"58407",37,42.23661285,-80.26815428,683.046255015534
"38","EB",2008,"58407",38,42.22958701,-80.26610678,2587.42279947425
"39","EB",2008,"58407",39,42.22263714,-80.26387595,1405.81300545262
"40","EB",2008,"58407",40,42.21563116,-80.26172862,3389.19828621866
"41","EB",2008,"58407",41,42.2085838,-80.25938904,1716.02784541341
"42","EB",2008,"58407",42,42.20169202,-80.25703357,2873.69328534474
"43","EB",2008,"58407",43,42.19476806,-80.25441158,1079.37364311044
"44","EB",2008,"58407",44,42.18789961,-80.25168876,2796.64146396353
"45","EB",2008,"58407",45,42.18101667,-80.24896667,2093.7762050951
"46","EB",2008,"58407",46,42.17407542,-80.24643625,855.744950594031
"47","EB",2008,"58407",47,42.16715104,-80.24394514,863.939371355899
"48","EB",2008,"58407",48,42.16021667,-80.2414,3144.41103273658
"49","EB",2008,"58506",49,42.22501784,-80.07748928,640.009050239359
"50","EB",2008,"58506",50,42.23203439,-80.0795,153.523014858327
"51","EB",2008,"58506",51,42.239,-80.08165,396.721494420723
"52","EB",2008,"58506",52,42.24599746,-80.08402608,353.355298306059
"53","EB",2008,"58506",53,42.25296502,-80.0864439,1060.71875903287
"54","EB",2008,"58506",54,42.2599,-80.0889,2376.21264144111
"55","EB",2008,"58506",55,42.26685497,-80.09131277,4173.79045895954
"56","EB",2008,"58506",56,42.2738,-80.0937,4484.079177272
"57","EB",2008,"58506",57,42.28075144,-80.09607874,3860.65106094559
"58","EB",2008,"58506",58,42.28772446,-80.09838593,3444.54271917737
"59","EB",2008,"58506",59,42.29466586,-80.1007248,6705.1408896424
"60","EB",2008,"58506",60,42.30169178,-80.10306393,6997.75100671068
"61","EB",2008,"58506",61,42.30860446,-80.10531815,7558.71753897885
"62","EB",2008,"58506",62,42.31563333,-80.10753333,10803.3326275586
"63","EB",2008,"58506",63,42.32257018,-80.10982171,8609.84860837894
"64","EB",2008,"58506",64,42.32957154,-80.1121941,16935.0117488696
"65","EB",2008,"58506",65,42.33655684,-80.11449117,10883.8009598369
"66","EB",2008,"58506",66,42.34354739,-80.11682135,11041.598001488
"67","EB",2008,"58506",67,42.35051592,-80.1191442,8051.66311760118
"68","EB",2008,"58506",68,42.35748333,-80.1215,8757.92952442352
"69","EB",2008,"58506",69,42.3644623,-80.1238541,6434.34760499837
"70","EB",2008,"58506",70,42.3714,-80.12633333,7771.77564611089
"71","EB",2008,"58506",71,42.37832879,-80.12886515,8999.03737289421
"72","EB",2008,"58506",72,42.38525177,-80.1313117,7216.4574003431
"73","EB",2008,"58506",73,42.3922512,-80.13364197,7870.69989084201
"74","EB",2008,"58506",74,42.39923082,-80.13593805,10606.0515574429
"75","EB",2008,"58506",75,42.40618222,-80.13822148,14462.8661065038
"76","EB",2008,"58506",76,42.41315684,-80.14049117,16857.2735384384
"77","EB",2008,"58506",77,42.42013036,-80.1427879,18747.7539460496
"78","EB",2008,"58506",78,42.42708526,-80.14511731,12337.434222471
"79","EB",2008,"58506",79,42.43408333,-80.14745,6835.13682964537
"80","EB",2008,"58506",80,42.44106157,-80.14972052,10503.1652234676
"81","EB",2008,"58506",81,42.44806452,-80.15194373,14598.1434789741
"82","EB",2008,"58506",82,42.45505399,-80.15414022,20234.932130249
"83","EB",2008,"58506",83,42.46196914,-80.15664645,13702.6311765989
"84","EB",2008,"58506",84,42.46884842,-80.15941058,6868.86114407787
"85","EB",2008,"58506",85,42.47572094,-80.16215698,4768.52597790923
"86","EB",2008,"58506",86,42.48272887,-80.16452074,5198.72150208353
"87","EB",2008,"58506",87,42.48972001,-80.16676778,13552.2616290579
"88","EB",2008,"58506",88,42.49663328,-80.16938332,47810.5265736538
"89","EB",2008,"58506",89,42.50345535,-80.17201384,50837.4910163412
"90","EB",2008,"58506",90,42.5103764,-80.1745882,35564.6791508057
"91","EB",2008,"58646",91,42.39013332,-79.87178333,3968.08835115201
"92","EB",2008,"58646",92,42.38393089,-79.86981504,5279.88603405064
"93","EB",2008,"58646",93,42.37697925,-79.86746531,6290.76481225651
"94","EB",2008,"58646",94,42.3700662,-79.86505524,8299.11721812509
"95","EB",2008,"58646",95,42.36304509,-79.86269836,9239.21746807851
"96","EB",2008,"58646",96,42.35614426,-79.86039809,5915.00944384333
