,Basin,Year,Transect,Interval,Lat_M,Lon_M,NperHa
1,WB,2006,1,1,41.69321864,-83.25881971,42145.15966
2,WB,2006,1,2,41.69705284,-83.25507698,33751.64236
3,WB,2006,1,3,41.70465596,-83.24881212,28199.57213
4,WB,2006,1,4,41.71257689,-83.24314778,17008.93121
5,WB,2006,1,5,41.72052801,-83.23759516,26960.80874
6,WB,2006,1,6,41.72846583,-83.2319002,9524.818638
7,WB,2006,1,7,41.73618195,-83.22591994,5540.525362
8,WB,2006,1,8,41.74379887,-83.21942525,2605.597809
9,WB,2006,1,9,41.751435,-83.21311333,4506.494872
10,WB,2006,1,10,41.75933704,-83.20741379,4255.455702
11,WB,2006,1,11,41.76730679,-83.20183087,11086.09451
12,WB,2006,1,12,41.77530983,-83.19629333,47717.38649
13,WB,2006,1,13,41.78303952,-83.19016863,50673.1293
14,WB,2006,1,14,41.79085293,-83.1842144,34729.28832
15,WB,2006,1,15,41.7985228,-83.17792703,19385.53777
16,WB,2006,1,16,41.80622938,-83.17162716,14057.92074
17,WB,2006,1,17,41.81376483,-83.165045,9395.973191
18,WB,2006,1,18,41.821168,-83.15854133,5997.997149
19,WB,2006,1,19,41.82851027,-83.15143284,10467.89568
20,WB,2006,1,20,41.83604307,-83.14489054,21768.31468
21,WB,2006,1,21,41.8434415,-83.13821333,114159.0291
22,WB,2006,1,22,41.85102263,-83.13160048,35241.10511
23,WB,2006,1,23,41.85875892,-83.12537784,22107.05921
24,WB,2006,1,24,41.86644203,-83.11917202,17617.46357
25,WB,2006,1,25,41.87371998,-83.11207886,36114.78926
26,WB,2006,1,26,41.88113902,-83.10540566,77508.15651
27,WB,2006,1,27,41.88878409,-83.09896468,40299.58619
28,WB,2006,1,28,41.89618252,-83.09207813,68706.84381
29,WB,2006,1,29,41.90371817,-83.08555667,34723.97917
30,WB,2006,1,30,41.91127971,-83.07893896,25141.90447
31,WB,2006,1,31,41.91843404,-83.07189567,40419.62513
32,WB,2006,1,32,41.92607427,-83.06577329,12939.14809
33,WB,2006,1,33,41.93359399,-83.05946466,7836.65517
34,WB,2006,1,34,41.9412142,-83.05335137,4315.661213
35,WB,2006,1,35,41.94918906,-83.04787419,4385.35266
36,WB,2006,1,36,41.95664,-83.04130483,5977.150043
37,WB,2006,1,37,41.96433972,-83.03518027,3159.336468
38,WB,2006,1,38,41.97196667,-83.02875317,4269.664957
39,WB,2006,1,39,41.97942581,-83.02253399,4782.815915
40,WB,2006,2,1,41.571985,-82.89104167,6427.069257
41,WB,2006,2,2,41.57837623,-82.89139973,6095.168936
42,WB,2006,2,3,41.58740849,-82.89144472,15332.96172
43,WB,2006,2,4,41.59641667,-82.89136483,7198.432703
44,WB,2006,2,5,41.60532014,-82.89196372,5139.903547
45,WB,2006,2,6,41.6142815,-82.89206,3630.980439
46,WB,2006,2,7,41.6232832,-82.89252167,4405.767432
47,WB,2006,2,8,41.63222538,-82.89286076,5278.095541
48,WB,2006,2,9,41.64121488,-82.89338005,9450.371233
49,WB,2006,2,10,41.65021029,-82.89392922,12648.48042
