,Basin,Year,Type,Transect,Interval,Lat_M,Lon_M,NperHa
1,WB,2020,R,73,1,41.47517573,-82.62292741,5600.213699
2,WB,2020,R,73,2,41.48266597,-82.62940046,3186.806387
3,WB,2020,R,73,3,41.49006667,-82.636065,1795.373101
4,WB,2020,R,73,4,41.49768695,-82.64249028,2757.619094
5,WB,2020,R,73,5,41.50534593,-82.64870019,2618.299013
6,WB,2020,R,129,1,41.5680055,-82.93326367,10671.1245
7,WB,2020,R,129,2,41.56804449,-82.92129768,12090.10426
8,WB,2020,R,129,3,41.56796578,-82.90933001,10542.71654
9,WB,2020,R,129,4,41.56745794,-82.89738072,15503.52851
10,WB,2020,R,129,5,41.56641922,-82.89126833,8113.608323
11,WB,2020,R,134,1,41.53677508,-82.56172726,12250.77687
12,WB,2020,R,134,2,41.52778833,-82.562365,9054.245072
13,WB,2020,R,134,3,41.51886268,-82.56321705,7678.479305
14,WB,2020,R,134,4,41.50991667,-82.56394833,4816.206478
15,WB,2020,R,134,5,41.50096917,-82.5643936,7079.783366
16,WB,2020,R,191,1,41.6301722,-82.80632454,29341.87122
17,WB,2020,R,191,2,41.62654393,-82.79538108,22318.65811
18,WB,2020,R,191,3,41.62280546,-82.78447781,18077.89361
19,WB,2020,R,191,4,41.61917622,-82.77361213,8274.578957
20,WB,2020,R,191,5,41.61479515,-82.76307789,13630.23661
21,WB,2020,R,193,1,41.62075724,-82.62101076,14965.97037
22,WB,2020,R,193,2,41.61331833,-82.61438167,20901.94925
23,WB,2020,R,193,3,41.60581228,-82.60780648,16988.73727
24,WB,2020,R,193,4,41.59806769,-82.60171478,12258.2254
25,WB,2020,R,193,5,41.59041654,-82.59550821,13647.13187
26,WB,2020,R,246,1,41.71510059,-83.22203951,1112.271056
27,WB,2020,R,246,2,41.71944561,-83.23244461,2499.675707
28,WB,2020,R,246,3,41.72419905,-83.24262796,2558.08238
29,WB,2020,R,246,4,41.72945478,-83.25233935,4144.854727
30,WB,2020,R,246,5,41.73436423,-83.26228463,5539.428294
31,WB,2020,R,247,1,41.72107134,-83.17237714,5321.196154
32,WB,2020,R,247,2,41.71747778,-83.16133491,7893.695446
33,WB,2020,R,247,3,41.71413566,-83.15019663,11959.06419
34,WB,2020,R,247,4,41.71103552,-83.13903022,8902.953359
35,WB,2020,R,247,5,41.70630604,-83.12871068,10528.7652
36,WB,2020,R,249,1,41.70352572,-82.95184716,25919.24201
37,WB,2020,R,249,2,41.69633919,-82.94466509,25106.02195
38,WB,2020,R,249,3,41.68934907,-82.9370981,28616.88861
39,WB,2020,R,249,4,41.68229407,-82.92967646,28092.79893
40,WB,2020,R,249,5,41.67537557,-82.92201128,27018.85361
41,WB,2020,R,250,1,41.71523477,-82.87719115,41878.13585
42,WB,2020,R,250,2,41.72417389,-82.87694191,54947.77389
43,WB,2020,R,250,3,41.73318055,-82.87694297,36061.42555
44,WB,2020,R,250,4,41.74216105,-82.87640221,42397.23768
45,WB,2020,R,250,5,41.7510582,-82.87506942,32888.66513
46,WB,2020,R,308,1,41.7869753,-83.03781416,28415.38907
47,WB,2020,R,308,2,41.7799484,-83.03040867,23220.17211
48,WB,2020,R,308,3,41.77299782,-83.02265282,19455.27114
49,WB,2020,R,308,4,41.76603446,-83.01506574,20481.34445
50,WB,2020,R,308,5,41.75899588,-83.00756088,17746.12635
51,WB,2020,R,367,1,41.86751167,-83.12196864,8930.55958
52,WB,2020,R,367,2,41.86020918,-83.11483588,27195.58518
53,WB,2020,R,367,3,41.85299833,-83.108025,34808.04833
