RSYOY,RSYAO,ES,YPYOY,OTHER,LAT,LONG,Sdepth,Fdepth,Layer,Year
24,501,0,0,2,42.07666667,-81.74433333,24.2,22,1,2015
55,71,7,13,1,42.07333333,-81.7425,23.3,21,1,2012
1,12,0,6,31,42.05816667,-81.743,24.7,20,1,2018
13,829,0,15,21,42.066,-81.739,24.3,20,1,2017
8,199,0,1,3,42.08483333,-81.75466667,23,20,1,2016
4,1083,4,0,8,42.308,-81.35466667,22.5,20,1,2010
226,160,0,0,0,42.34066667,-81.3715,22.5,20,1,2015
689,23,0,35,6,42.33733333,-81.37316667,22.5,20,1,2017
143,54,0,0,0,42.34116667,-81.38033333,22.2,20,1,2016
226,3,0,4,0,42.08533333,-81.747,24.9,19,1,2019
51,10,0,4,0,42.3165,-81.38016667,23.5,19,1,2019
17,421,0,0,0,42.34316667,-81.37233333,22.4,19,1,2015
0,2555,66,0,2,41.87216667,-82.1325,21.7,19,1,2009
419,28,0,1,5,41.90983333,-82.15416667,21.2,19,1,2015
15,152,0,0,0,42.39566667,-80.91666667,21,19,1,2015
2,202,0,8,5,42.2105,-81.81333333,20.9,19,1,2019
8,335,0,0,8,42.3885,-80.9145,20.8,19,1,2013
217,35,0,19,3,42.38466667,-80.91466667,20.8,19,1,2017
2,16,0,1,324,42.40383333,-80.92483333,20.7,19,1,2010
9,50,0,0,2,42.42166667,-80.91716667,20.7,19,1,2015
3,1003,0,0,7,42.39666667,-80.93116667,20.6,19,1,2013
0,1713,39,1,2,42.07883333,-81.74933333,24.2,18,1,2010
28,20,3,5,0,42.0735,-81.75166667,23.9,18,1,2013
9,23,0,57,0,42.31333333,-81.36716667,22.9,18,1,2018
0,1149,1,0,137,41.98283333,-81.43466667,22.86,18,1,2013
4,738,0,0,0,42.15653,-81.2988,22.55519928,18,1,2009
10,0,1,29,56,41.91766667,-82.178,21.5,18,1,2018
20,1,3,4,6,41.88616667,-82.13833333,21.1,18,1,2013
4,15,0,6,0,42.37783333,-80.88666667,21.1,18,1,2018
4,3,0,3,0,41.9005,-82.14633333,21,18,1,2013
595,13,0,0,33,42.03316667,-82.21383333,20.9,18,1,2015
935,30,0,77,8,42.38566667,-80.89483333,20.9,18,1,2017
68,43,2,21,18,42.02866667,-82.2105,20.8,18,1,2013
165,309,0,11,5,41.92466667,-82.16333333,20.8,18,1,2016
530,80,1,209,23,42.04016667,-82.224,20.8,18,1,2016
23,69,0,0,17,42.387,-80.9,20.6,18,1,2016
613,11,0,0,12,42.2075,-81.80683333,20.5,18,1,2015
15,600,0,0,0,42.05933333,-81.74166667,24.4,17,1,2015
79,48,4,21,30,42.04933333,-81.73,24.4,17,1,2017
159,6,0,12,10,42.09683333,-81.76483333,23.6,17,1,2016
0,1002,0,0,7,42.14174,-81.07479,23,17,1,2016
0,915,2,0,2,41.9663,-81.4548,22.86,17,1,2011
508,1,0,34,7,42.32383333,-81.367,22.5,17,1,2017
3,908,0,0,2,42.35466667,-81.38216667,22.3,17,1,2009
21,11,6,0,20,42.34233333,-81.374,22.3,17,1,2010
127,12,0,0,1,42.35616667,-81.38166667,22.1,17,1,2016
0,1673,0,0,4,42.0228,-81.0177,21.9456,17,1,2011
24,0,0,0,0,42.3585,-80.91366667,21.9,17,1,2019
0,4,0,2,257,41.89866667,-81.42566667,21.6408,17,1,2012
0,1619,0,0,11,42.38683333,-80.9195,21.4,17,1,2009
27,17,152,0,3,41.8635,-82.12066667,21.3,17,1,2010
0,50,0,0,2,42.387,-80.92266667,20.9,17,1,2009
1297,21,0,49,6,42.37933333,-80.91183333,20.7,17,1,2017
1,1,0,0,5,42.39083333,-80.919,20.6,17,1,2010
21,28,0,18,7,42.2318,-80.5505,20.5,17,1,2014
71,314,0,0,7,41.99926,-81.47881,20,17,1,2016
0,1070,164,0,0,42.224,-81.81366667,19.4,17,1,2010
155,96,0,0,11,42.48666667,-81.44416667,19.4,17,1,2015
3,1232,0,0,0,42.02875,-81.24362,22.55519928,16.76399946,1,2009
7,1096,0,0,0,42.33575,-81.37482,22.55519928,16.76399946,1,2009
61,35,0,6,6,41.82014,-81.89339,20,16.5,1,2016
25,0,0,11,20,42.07333333,-81.74483333,24.6,16,1,2018
291,1,4,26,0,42.08533333,-81.74233333,24.1,16,1,2013
129,1,145,59,36,42.0358,-81.4378,23.9,16,1,2014
3,1,5,0,1,42.05816667,-81.73633333,23.6,16,1,2012
6,1,0,53,0,42.3305,-81.3695,22.7,16,1,2018
0,69,0,0,0,42.144433,-81.292267,22.6,16,1,2011
0,16,0,0,0,42.33733333,-81.373,22.6,16,1,2011
147,189,0,0,1,42.34433333,-81.37933333,22.4,16,1,2015
1,406,0,0,3,42.35116667,-81.37,22.3,16,1,2009
49,0,47,5,11,42.333,-81.38733333,22,16,1,2012
3,0,0,19,229,41.92316667,-82.15516667,21.6,16,1,2018
3,0,0,205,73,42.06466667,-82.24633333,21,16,1,2018
0,255,57,0,1,42.0665,-82.21983333,20.8,16,1,2009
0,0,0,5,34,42.20366667,-81.80633333,20.8,16,1,2018
1,1,1,1,6,42.39,-80.91716667,20.7,16,1,2010
116,0,0,0,5,42.38516667,-80.91883333,20.6,16,1,2016
2,1,0,19,13,42.47633333,-81.416,20.6,16,1,2018
399,634,0,3,9,42.4765,-81.4325,19.9,16,1,2016
0,0,0,9,4,42.5055,-80.94816667,19.5,16,1,2018
0,189,0,43,40,42.2984,-81.2658,18.3,16,1,2014
577,4,0,1,1,42.55,-80.981,18.1,16,1,2015
8,1227,6,0,0,41.77072,-82.10543,21.33599932,15.23999951,1,2009
18,955,69,0,0,41.8135,-82.12797,21.33599932,15.23999951,1,2009
92,1,11,3,3,42.062,-81.74666667,24.2,15,0,2010
0,770,0,0,1,42.0737,-81.5067,24.0792,15,1,2011
258,0,22,352,472,42.202,-81.2299,22,15,1,2014
0,23,228,0,0,41.91083333,-82.13933333,21.9,15,0,2011
42,0,0,3,0,42.37483333,-80.91833333,21.7,15,0,2019
22,3,0,34,5,42.05716667,-82.22166667,21.6,15,0,2019
94,77,2,65,16,41.908,-82.15,21.3,15,1,2017
0,621,9,0,0,42.38666667,-80.92183333,21.2,15,1,2011
0,151,0,0,0,42.39266667,-80.9165,21.2,15,1,2011
8,0,3,2,3,41.9045,-82.14816667,21.1,15,0,2013
1,307,0,1,4,42.39466667,-80.88316667,21,15,1,2018
23,71,0,0,0,42.41266667,-80.923,20.9,15,1,2015
42,1,2,34,7,42.01333333,-82.19966667,20.8,15,0,2013
534,3,1,3,2,42.2015,-81.80266667,20.7,15,1,2015
323,1,0,37,2,41.92833333,-82.17216667,20.7,15,0,2016
18,111,8,1,1,42.38633333,-80.93783333,20.6,15,1,2012
177,5,0,3,2,42.39516667,-80.93466667,20.5,15,0,2013
155,21,1,81,11,42.0405,-82.22433333,20.5,15,0,2016
6,0,1,6,1,42.21333333,-81.80383333,20.3,15,0,2013
0,17740,0,0,2,42.20933333,-81.80566667,20.3,15,0,2016
11,0,0,27,223,41.73499,-81.84303,22,14.6,1,2017
566,475,0,104,13,42.03272,-81.49248,22,14.3,1,2017
17,1,0,0,21,42.05833333,-81.74466667,24.3,14,1,2017
4,1,5,0,6,42.05416667,-81.7395,23.5,14,1,2012
66,142,116,45,9,41.86766667,-81.89233333,22.86,14,1,2012
28,1,7,2,0,42.31833333,-81.36,22.6,14,0,2010
23,0,0,7,3,42.20864,-81.10788,22,14,1,2017
77,0,102,2,7,41.88783333,-82.116,21.8,14,0,2010
15,347,84,0,3,42.0685,-82.22,21.3,14,0,2010
570,10,0,0,14,41.91233333,-82.15433333,21.2,14,1,2015
6,4,21,1,1,42.0525,-82.21483333,21.1,14,0,2011
31,8,21,41,15,42.1189,-81.4788,21,14,0,2014
60,14,1,45,7,42.2426,-80.5526,20.5,14,0,2014
0,584,0,0,1,42.081,-81.0473,20.4216,14,1,2011
5,4,4,1,5,42.4775,-81.4495,19.7,14,0,2012
188,1,28,49,5,42.215,-81.81,19.3,14,1,2012
9,1476,0,0,2,42.4915,-81.44466667,18.9,14,0,2010
49,46,29,0,2,42.49066667,-81.44283333,18.9,14,0,2013
15,63,188,4,2,42.5355,-80.97283333,18.4,14,0,2013
233,74,0,5,4,42.54616667,-80.97866667,18.4,14,1,2017
1,2786,1,0,3,42.50333333,-81.43916667,18.1,14,1,2009
15,0,7,0,0,42.1468,-80.84597,21.9455993,13.71599956,1,2009
1,972,0,0,1,42.23175,-80.89207,20.72639934,13.71599956,1,2009
6,724,0,0,0,42.43778,-81.41638,19.81199937,13.71599956,1,2009
36,315,4,0,354,41.90566667,-81.42933333,16.7056,13.4112,0,2013
17,0,0,3,5,42.13179,-81.07015,22,13.4,1,2017
18,20,1,0,1,42.20883333,-81.11,21.9456,13.1064,0,2013
29,0,0,1,4,41.75906,-81.86596,20,13.1,0,2016
114,17,0,1,0,41.93613,-81.44816,20,13.1,0,2016
194,2,0,3,2,42.1385,-81.7345,25.1,13,0,2019
16,287,0,1,0,42.07916667,-81.7465,24.2,13,0,2015
136,0,1,25,1,42.08633333,-81.72916667,24.1,13,0,2013
113,0,0,7,2,42.07766667,-81.74633333,23.9,13,0,2016
10,0,2,1,4,42.07016667,-81.74616667,23.8,13,1,2012
84,0,0,1,0,42.29266667,-81.37383333,23.6,13,0,2019
5,4,5,0,0,42.31366667,-81.366,22.8,13,1,2011
839,0,0,3,0,42.3445,-81.37733333,22.2,13,0,2016
78,0,0,13,12,41.93083333,-82.16666667,21.8,13,0,2019
69,0,0,30,6,42.0435,-82.22416667,21.5,13,0,2019
2,10,8,0,0,42.38733333,-80.92166667,21.3,13,1,2012
0,7,0,0,0,42.38516667,-80.91733333,20.9,13,1,2009
19,0,0,46,2,42.22516667,-81.81283333,20.9,13,0,2019
815,0,0,1,2,42.03683333,-82.204,20.8,13,1,2015
248,0,0,0,0,42.38533333,-80.918,20.7,13,0,2016
54,25,6,0,3,42.3915,-80.938,20.6,13,1,2012
822,44,0,0,1,42.46383333,-81.42633333,20.5,13,0,2016
904,17,0,22,8,42.47566667,-81.43066667,20.4,13,0,2017
0,16,1,0,1,42.49033333,-81.43966667,19.2,13,1,2011
126,191,4,52,18,42.3179,-80.5847,18.5,13,0,2014
321,0,14,9,3,42.53333333,-80.971,18.2,13,1,2012
422,2,0,0,0,42.56616667,-80.98933333,18.1,13,0,2015
44,2,5,14,75,42.24166667,-81.82266667,17.6,13,0,2018
0,22,3,0,1,42.5655,-80.98383333,16.7,13,0,2010
66,0,8,0,1,41.8445,-81.39966667,16.4008,12.4968,0,2013
72,178,73,1,3,41.85912,-82.14842,19.81199937,12.19199961,0,2009
55,1015,4,0,3,41.95325,-82.19582,19.81199937,12.19199961,0,2009
18,920,2,0,1,41.98167,-82.21982,19.81199937,12.19199961,0,2009
3,0,0,4,22,42.0555,-81.738,24.8,12,0,2018
15,0,41,3,1,42.05316667,-81.74083333,24.4,12,0,2010
20,0,83,16,11,42.0459,-81.45,24,12,0,2014
2,0,0,52,7,42.3185,-81.37333333,22.7,12,0,2018
11,0,107,2,23,42.33,-81.37516667,22.3,12,0,2012
203,29,0,8,1,42.42716667,-81.41416667,22.2,12,0,2019
3,19,427,0,47,42.067,-82.22216667,21.4,12,0,2009
263,3,2,12,39,41.89233333,-82.14133333,21.4,12,0,2017
0,0,0,3,47,41.927,-82.1745,21.4,12,0,2018
0,0,0,10,6,42.3785,-80.88766667,21.2,12,0,2018
0,0,0,35,258,42.05716667,-82.225,21.1,12,0,2018
