RSYOY,RSYAO,ES,YPYOY,OTHER,LONG,Sdepth,Fdepth,Year,EW,depthcat,Layer
0,0.7949,0.2051,0,0,-82.266,10,5,2010,0,0,0
0,0,0.9783,0.0161,0.0056,-82.264,12.6,10,2013,0,0,0
0.7037,0.2824,0,0,0.0139,-82.264,13.6,7,2017,0,0,0
0,0.9991,0.0009,0,0,-82.263,13.2,6,2009,0,0,0
0.9539,0.0314,0,0,0.0147,-82.262,17.1,5,2017,0,0,0
0,0.0022,0.9955,0,0.0023,-82.26,12.7,6,2011,0,0,0
0.8125,0,0.1141,0.0516,0.0218,-82.26,13.7,11,2015,0,0,0
0.3356,0,0.0067,0.2886,0.3691,-82.26,15,12,2019,0,0,0
0.3063,0.0125,0,0.0813,0.5999,-82.258,14,10,2016,0,0,0
0,0.0156,0.0234,0.0313,0.9297,-82.258,14.1,12,2018,0,0,0
0.0018,0,0.8818,0.0053,0.1111,-82.256,15.5,5,2013,0,0,0
0,0.9545,0.0437,0,0.0018,-82.255,14.7,10,2010,0,0,0
0.0022,0.9914,0.0065,0,-1.00E-04,-82.254,14.4,12,2009,0,0,0
0.8939,0,0.0082,0.0735,0.0244,-82.253,15.4,7,2015,0,0,0
0.0331,0,0.0083,0.1243,0.8343,-82.252,17.2,8,2019,0,0,0
0.1546,0,0.0025,0,0.8429,-82.25,17.2,7,2016,0,0,0
0.0107,0,0,0.7295,0.2598,-82.246,21,16,2018,0,1,1
0,0,0.0654,0.0192,0.9154,-82.242,17,8,2018,0,0,0
0.9287,0.0335,0,0.0189,0.0189,-82.235,20.7,7,2017,0,1,0
0.0016,0.0008,0.9921,0,0.0055,-82.229,21.5,7,2009,0,1,0
0.9036,0.025,0,0.0286,0.0428,-82.225,20.9,9,2017,0,1,0
0.0012,0,0.9958,0,0.003,-82.225,21,7,2010,0,1,0
0,0,0,0.1195,0.8805,-82.225,21.1,12,2018,0,1,0
0.5762,0.0781,0.0037,0.3011,0.0409,-82.224,20.5,15,2016,0,1,0
0.1078,0,0,0.2794,0.6128,-82.224,20.5,8,2016,0,1,0
0.6287,0.0949,0.0012,0.2479,0.0273,-82.224,20.8,18,2016,0,1,1
0.1111,0,0,0.1852,0.7037,-82.224,21.5,8,2019,0,1,0
0.6571,0,0,0.2857,0.0572,-82.224,21.5,13,2019,0,1,0
0.006,0.0383,0.8609,0,0.0948,-82.222,21.4,12,2009,0,1,0
0.3438,0.0469,0,0.5313,0.078,-82.222,21.6,15,2019,0,1,0
0.0191,0.9777,0.0021,0,0.0011,-82.22,19.8,12.2,2009,0,1,0
0,0.8147,0.1821,0,0.0032,-82.22,20.8,16,2009,0,1,1
0.3077,0,0,0.011,0.6813,-82.22,21,5,2017,0,1,0
0.0334,0.7728,0.1871,0,0.0067,-82.22,21.3,14,2010,0,1,0
0,0,0.9602,0,0.0398,-82.218,21.2,5,2011,0,1,0
0.0046,0,0.9874,0,0.008,-82.215,20.9,10,2010,0,1,0
0.1818,0.1212,0.6364,0.0303,0.0303,-82.215,21.1,14,2011,0,1,0
0.9282,0.0203,0,0,0.0515,-82.214,20.9,18,2015,0,1,1
0.4474,0.2829,0.0132,0.1382,0.1183,-82.211,20.8,18,2013,0,1,1
0.0233,0,0.814,0.0698,0.0929,-82.207,20.8,5,2013,0,1,0
0.9963,0,0,0.0012,0.0025,-82.204,20.8,13,2015,0,1,1
0.993,0.0026,0,0.0009,0.0035,-82.204,20.9,8,2015,0,1,0
0.4884,0.0116,0.0233,0.3953,0.0814,-82.2,20.8,15,2013,0,1,0
0.0511,0.9424,0.0037,0,0.0028,-82.196,19.8,12.2,2009,0,1,0
0,0,0.0035,0.0625,0.934,-82.196,21.7,6,2018,0,1,0
0.1042,0,0.0104,0.3021,0.5833,-82.178,21.5,18,2018,0,1,1
0,0,0,0.06,0.94,-82.175,21.4,12,2018,0,1,0
0.8898,0.0028,0,0.1019,0.0055,-82.172,20.7,15,2016,0,1,0
0.7573,0,0,0.1262,0.1165,-82.167,21.8,13,2019,0,1,0
0.2245,0,0.0714,0,0.7041,-82.165,21.3,6,2017,0,1,0
0.9438,0,0,0.0562,0,-82.164,20.9,8,2016,0,1,0
0.6296,0,0,0.1852,0.1852,-82.164,21.8,10,2019,0,1,0
0.3367,0.6306,0,0.0224,0.0103,-82.163,20.8,18,2016,0,1,1
0.4444,0,0,0.3889,0.1667,-82.162,21.9,6,2019,0,1,0
0.8113,0,0.1509,0.0377,1.00E-04,-82.157,21.8,6,2010,0,1,0
0.0945,0,0.7402,0,0.1653,-82.155,21,5,2013,0,1,0
0.1317,0.012,0.0778,0.006,0.7725,-82.155,21.3,9,2017,0,1,0
0.012,0,0,0.0757,0.9123,-82.155,21.6,16,2018,0,1,1
0.9249,0.0618,0,0.0022,0.0111,-82.154,21.2,19,2015,0,1,1
0.9596,0.0168,0,0,0.0236,-82.154,21.2,14,2015,0,1,1
0.9587,0,0,0,0.0413,-82.154,21.3,6,2015,0,1,0
0.9653,0,0,0.005,0.0297,-82.151,21.2,10,2015,0,1,0
0.0396,0,0,0.0792,0.8812,-82.151,21.7,9,2018,0,1,0
0.3701,0.3031,0.0079,0.2559,0.063,-82.15,21.3,15,2017,0,1,1
0.2202,0.5443,0.2232,0.0031,0.0092,-82.148,19.8,12.2,2009,0,1,0
0.5,0,0.1875,0.125,0.1875,-82.148,21.1,15,2013,0,1,0
0.4,0.3,0,0.3,0,-82.146,21,18,2013,0,1,1
0,0.0235,0.9706,0,0.0059,-82.144,21.6,6,2009,0,1,0
0.8245,0.0094,0.0063,0.0376,0.1222,-82.141,21.4,12,2017,0,1,0
0.0041,0,0.9918,0,0.0041,-82.14,21.9,5,2011,0,1,0
0,0.0916,0.9084,0,0,-82.139,21.9,15,2011,0,1,0
0.5882,0.0294,0.0882,0.1176,0.1766,-82.138,21.1,18,2013,0,1,1
0,0.9741,0.0252,0,0.0007,-82.133,21.7,19,2009,0,1,1
