year,Agency,SITE,SAM,trldate,Latitude,Longitude,secchi,secchi2,trldist,knots,grdepn,sitem_n,xo2surfn,btemn,xo2botn,sidepn,grtemn,xgro2n,sidep2n,sitem2n,xo2surf2n,btem2n,xobot2n,grtem2n,xgro22n,ha,month,day,TL_MODE,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total
2012,ON,19,101,8/27/2012,41.99650,-82.59433,1.9,1.7,0.4,3,9.2,24.7,8.15,24.8,7.78,9.2,24.8,7.78,8.6,24.5,8.36,24.7,6.33,24.7,6.3,0.222,8,27,BOTTOM,0.00,737.94,10772.14,0.00,170.99,36942.04,48623.11
2012,ON,19,102,8/27/2012,41.99567,-82.59300,1.9,1.7,0.5,3,5,24.7,8.15,24.8,7.78,9.2,24.8,8.12,8.7,24.5,8.36,24.7,6.33,24.7,8.1,0.278,8,27,TOP,7.20,431.97,10313.17,0.00,0.00,18.00,10770.34
2012,ON,18,103,8/27/2012,41.70450,-82.55183,1.5,1.6,0.5,3,12.1,24.4,8.22,24.3,7.95,12.1,24.3,7.95,11.9,24.3,8.2,24.3,8.01,24.3,8.01,0.278,8,27,BOTTOM,0.00,79.19,8282.94,0.00,208.78,16778.26,25349.17
2012,ON,18,104,8/27/2012,41.69817,-82.54867,1.5,1.6,0.5,3,9,24.4,8.22,24.3,7.95,12.4,24.3,8.07,12,24.3,8.2,24.3,8.01,24.3,8.03,0.278,8,27,MIDDLE,3.60,10.80,5662.35,0.00,3.60,212.38,5892.73
2012,ON,18,105,8/27/2012,41.70250,-82.55233,1.5,1.6,0.5,3,6,24.4,8.22,24.3,7.95,12.2,24.3,8.07,11.9,24.3,8.2,24.3,8.01,24.3,8.03,0.278,8,27,TOP,0.00,93.59,2976.96,0.00,0.00,10.80,3081.35
2012,ON,12,106,8/28/2012,41.94833,-82.69450,1.6,1.6,0.5,3,10.8,24.3,8.07,24.3,8.06,10.8,24.3,8.06,10.9,24.1,8.32,24.2,5.03,24.3,5.03,0.278,8,28,BOTTOM,0.00,2181.43,2246.22,0.00,248.38,1652.27,6328.29
2012,ON,12,107,8/28/2012,41.94533,-82.69550,1.6,1.6,0.4,3,8,24.3,8.07,24.3,8.06,10.8,24.3,8.04,10.9,24.1,8.32,24.2,5.03,24.3,8.08,0.222,8,28,MIDDLE,0.00,67.49,26025.92,0.00,0.00,31.50,26124.91
2012,ON,12,108,8/28/2012,41.94900,-82.69700,1.6,1.6,0.5,3,5,24.3,8.07,24.3,8.06,10.7,24.3,8.08,10.8,24.1,8.32,24.2,5.03,24.2,8.09,0.278,8,28,TOP,0.00,7.20,8084.95,0.00,0.00,3.60,8095.75
2012,ON,22,109,8/28/2012,41.77783,-82.77867,2.2,2.1,0.4,3,8.4,24.3,8.03,24.1,5.44,8.4,24.1,5.44,8.5,24.2,8.64,24,8.04,24,8.04,0.222,8,28,BOTTOM,9.00,215.98,13755.40,0.00,49.50,2834.77,16864.65
2012,ON,22,110,8/28/2012,41.77800,-82.78050,2.2,2.1,0.5,3,5,24.3,8.03,24.1,5.44,8.3,24.2,8,8.4,24.1,8.64,24,8.04,24,8.52,0.278,8,28,TOP,0.00,0.00,17228.22,0.00,0.00,0.00,17228.22
