year,Agency,SITE,SAM,trldate,secchi,secchi2,trldist,knots,grdepn,sitem_n,xo2surfn,btemn,xo2botn,sidepn,grtemn,xgro2n,sidep2n,sitem2n,xo2surf2n,btem2n,xobot2n,grtem2n,xgro22n,ha,month,day,TL_MODE,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total,ID,strata,AREA,PERIMETER
2012,ON,19,101,8/27/2012,1.9,1.7,0.4,3,9.2,24.7,8.15,24.8,7.78,9.2,24.8,7.78,8.6,24.5,8.36,24.7,6.33,24.7,6.3,0.222,8,27,BOTTOM,0,737.94,10772.14,0,170.99,36942.04,48623.11,0,Pidgeon Bay,290988370.2,91099.594
2012,ON,19,102,8/27/2012,1.9,1.7,0.5,3,5,24.7,8.15,24.8,7.78,9.2,24.8,8.12,8.7,24.5,8.36,24.7,6.33,24.7,8.1,0.278,8,27,TOP,7.2,431.97,10313.17,0,0,18,10770.34,0,Pidgeon Bay,290988370.2,91099.594
2012,ON,12,106,8/28/2012,1.6,1.6,0.5,3,10.8,24.3,8.07,24.3,8.06,10.8,24.3,8.06,10.9,24.1,8.32,24.2,5.03,24.3,5.03,0.278,8,28,BOTTOM,0,2181.43,2246.22,0,248.38,1652.27,6328.29,0,Pidgeon Bay,290988370.2,91099.594
2012,ON,12,107,8/28/2012,1.6,1.6,0.4,3,8,24.3,8.07,24.3,8.06,10.8,24.3,8.04,10.9,24.1,8.32,24.2,5.03,24.3,8.08,0.222,8,28,MIDDLE,0,67.49,26025.92,0,0,31.5,26124.91,0,Pidgeon Bay,290988370.2,91099.594
2012,ON,12,108,8/28/2012,1.6,1.6,0.5,3,5,24.3,8.07,24.3,8.06,10.7,24.3,8.08,10.8,24.1,8.32,24.2,5.03,24.2,8.09,0.278,8,28,TOP,0,7.2,8084.95,0,0,3.6,8095.75,0,Pidgeon Bay,290988370.2,91099.594
2013,ON,12,101,8/27/2013,2.1,NA,0.52,3,2,23.6,8.78,23.6,8.36,10.8,23.6,8.4,10.8,23.6,9.08,23.6,8.73,23.6,8.9,0.289,8,27,TOP,3.46,0,1554.11,0,0,0,1557.57,0,Pidgeon Bay,290988370.2,91099.594
2013,ON,12,102,8/27/2013,2.1,NA,0.49,3,8,23.6,8.78,23.6,8.36,10.8,23.6,8.38,10.8,23.6,9.08,23.6,8.73,23.6,8.84,0.272,8,27,MIDDLE,0,3.67,1454.58,0,0,0,1458.25,0,Pidgeon Bay,290988370.2,91099.594
2013,ON,12,103,8/27/2013,2.1,NA,0.46,3,10.8,23.6,8.78,23.6,8.36,10.8,23.6,8.36,10.8,23.6,9.08,23.6,8.73,23.6,8.73,0.256,8,27,BOTTOM,0,3.91,880.36,0,3.91,0,888.19,0,Pidgeon Bay,290988370.2,91099.594
2013,ON,19,114,8/29/2013,1.5,1.7,0.52,3,3,24,7.78,23.8,7.35,9,24.1,7.76,9.7,24.1,8.34,23.7,7.61,24.1,7.76,0.289,8,29,TOP,3.46,6.92,10660.69,0,0,0,10671.07,0,Pidgeon Bay,290988370.2,91099.594
2013,ON,19,115,8/29/2013,1.5,1.7,0.49,3,9,24,7.78,23.8,7.35,8.9,23.8,7.35,9.3,24.1,8.34,23.7,7.66,23.7,7.61,0.272,8,29,BOTTOM,40.4,3820.1,1123.99,0,492.21,36.73,5513.44,0,Pidgeon Bay,290988370.2,91099.594
2014,ON,19,104,8/26/2014,2.1,2,0.33,2.9,8.3,24.19,9.94,23.99,9.13,8.3,23.99,9.13,7,24.39,8.91,24.22,9.46,NA,NA,0.183,8,26,BOTTOM,0,610.86,687.22,0,0,21.82,1319.89,0,Pidgeon Bay,290988370.2,91099.594
2014,ON,19,105,8/26/2014,2.1,2,0.47,2.9,0.6,24.19,9.94,23.99,9.13,8.6,23.99,9.13,7.7,24.39,8.91,24.22,9.46,24.3,8.91,0.261,8,26,TOP,0,995.67,3082.73,0,7.66,0,4086.06,0,Pidgeon Bay,290988370.2,91099.594
2014,ON,12,106,8/26/2014,2.5,2.3,0.63,3,10.9,23.61,9.88,22.63,7.57,10.9,22.63,9.88,10.7,23.61,9.97,23.47,9.62,23.4,9.62,0.35,8,26,BOTTOM,0,157.13,514.24,0,237.12,1642.73,2551.22,0,Pidgeon Bay,290988370.2,91099.594
2014,ON,12,107,8/26/2014,NA,NA,0.47,2.9,5,NA,NA,NA,NA,10.8,23.57,9.74,10,NA,NA,NA,NA,NA,NA,0.261,8,26,MIDDLE,0,11.49,5188.95,0,7.66,0,5208.09,0,Pidgeon Bay,290988370.2,91099.594
2014,ON,12,108,8/26/2014,NA,NA,0.47,2.9,2,NA,NA,NA,NA,10.8,23.6,9.9,10.8,NA,NA,NA,NA,NA,NA,0.261,8,26,TOP,0,0,11.49,0,7.66,0,19.15,0,Pidgeon Bay,290988370.2,91099.594
2015,ON,19,104,8/25/2015,1.2,1,0.5,3,5,23.89,8.11,23.9,7.85,8.7,23.91,8.05,7.6,23.78,8.43,23.82,8.01,23.8,8.18,0.278,8,25,TOP,0,28.8,961.12,0,1850.25,7.2,2847.37,0,Pidgeon Bay,290988370.2,91099.594
2015,ON,19,105,8/28/2015,1.2,1,0.5,3,7,23.89,8.11,23.9,7.85,8.6,23.91,8.03,7.7,23.78,8.43,23.82,8.01,23.8,8.13,0.278,8,28,MIDDLE,0,122.39,475.16,0,896.33,7.2,1501.08,0,Pidgeon Bay,290988370.2,91099.594
2015,ON,19,106,8/25/2015,1.2,1,0.51,3,8.7,23.89,8.11,23.9,7.85,8.7,23.9,7.85,8.1,23.78,8.43,23.82,8.01,23.8,8.01,0.283,8,25,BOTTOM,0,317.62,356.44,0,758.76,14.12,1446.94,0,Pidgeon Bay,290988370.2,91099.594
2015,ON,12,107,8/25/2015,2.1,2,0.49,3.1,5,22.85,10.01,23.04,8.82,10.7,23.02,9.09,10.7,22.56,9.95,23.06,8.82,23.1,8.91,0.272,8,25,TOP,0,528.94,38259.8,0,0,22.04,38810.77,0,Pidgeon Bay,290988370.2,91099.594
2015,ON,12,108,8/25/2015,2.1,2,0.51,3.1,8,22.85,10.01,23.04,8.82,10.8,23.03,8.93,10.8,22.56,9.95,23.06,8.82,23,8.85,0.283,8,25,MIDDLE,0,179.99,14084.76,0,49.41,3.53,14317.68,0,Pidgeon Bay,290988370.2,91099.594
2015,ON,12,109,8/25/2015,2.1,2,0.49,3.1,9,22.85,10.01,23.04,8.82,10.8,23.04,8.82,10.8,22.56,9.95,23.06,8.82,23.1,8.82,0.272,8,25,MIDDLE,0,1759.45,6038.7,0,7.35,3.67,7809.17,0,Pidgeon Bay,290988370.2,91099.594
2015,ON,12,110,8/25/2015,2.1,2,0.49,3.1,10.8,22.85,10.01,23.04,8.82,10.8,23.04,8.82,10.8,22.56,9.95,23.06,8.82,23,8.82,0.272,8,25,BOTTOM,0,286.51,8819.29,0,62.44,367.32,9535.56,0,Pidgeon Bay,290988370.2,91099.594
2016,ON,12,105,8/30/2016,2.2,2.2,0.47,2.8,4,25.7,7.63,25.39,7.46,10.8,25.6,7.78,NA,25.71,7.63,24.3,3.92,25.6,6.68,0.261,8,30,TOP,0,34.47,704.62,0,0,0,739.09,0,Pidgeon Bay,290988370.2,91099.594
2016,ON,12,106,8/30/2016,2.2,2,0.47,2.7,8,25.71,7.63,24.3,3.92,10.9,25.34,4.41,NA,25.84,5.91,25.36,4.51,NA,NA,0.261,8,30,MIDDLE,0,210.62,2370.45,0,0,3.83,2584.9,0,Pidgeon Bay,290988370.2,91099.594
2016,ON,12,107,8/30/2016,2,2,0.46,2.6,10.9,25.85,4.27,25.32,4.05,10.9,25.32,4.05,NA,25.87,4.03,24.76,3.22,NA,NA,0.256,8,30,BOTTOM,0,524.31,2363.29,0,7.83,66.52,2961.94,0,Pidgeon Bay,290988370.2,91099.594
2016,ON,19,108,8/30/2016,2.1,1.9,0.47,2.7,4,25.89,4.93,24.34,3.78,8.3,25.65,5.13,NA,25.86,5.35,25.95,5.3,25.9,5.36,0.261,8,30,TOP,0,0,0,0,0,61.27,61.27,0,Pidgeon Bay,290988370.2,91099.594
2016,ON,19,109,8/30/2016,1.9,2.7,0.47,2.7,8.6,25.88,5.11,21.41,1.37,8.6,21.41,1.37,9.2,25.82,5.36,18.97,0.92,18.9,0.83,0.261,8,30,BOTTOM,0,11.49,0,0,0,7.66,19.15,0,Pidgeon Bay,290988370.2,91099.594
