year,Agency,grid,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total,strata,DISCHARGE,AREA,PERIMETER
2017,ON,9,6.6,23.7,24.3,1.9,9.3,9.5,0,0,12,4,4,4,23,1,Detroit R.,1066406006,353171.391
2013,ON,31,10.6,21.8,23.5,2.7,7.2,6.8,0,0,0,0,8,19,27,1,Detroit R.,1066406006,353171.391
2013,ON,35,7.7,22,23.5,2.7,7.7,7.8,0,4,0,0,4,23,31,1,Detroit R.,1066406006,353171.391
2014,OH,879,6.7,22.4,22.8,2.4,9,NA,0,0,0,0,17,17,33,1,Detroit R.,1066406006,353171.391
2015,ON,10,6.4,23.5,23.7,2.1,9.2,9.2,0,0,0,4,12,28,44,1,Detroit R.,1066406006,353171.391
2011,ON,11,8.5,23.7,24.1,1.6,10.9,NA,0,0,0,0,58,4,61,1,Detroit R.,1066406006,353171.391
2016,ON,9,6.2,25,25.7,1.9,8.5,8.4,0,0,0,4,33,41,78,1,Detroit R.,1066406006,353171.391
2018,ON,20,8.7,24.4,24.4,1.8,8.4,8,0,0,0,3,6,76,85,1,Detroit R.,1066406006,353171.391
2011,ON,20,8.6,22.9,23.9,2.4,4.4,NA,0,0,0,46,8,37,91,1,Detroit R.,1066406006,353171.391
2007,ON,10,6,24.3,24.5,1.3,8.3,NA,0,4,0,19,11,67,100,1,Detroit R.,1066406006,353171.391
2012,OH,911,8.2,22.6,22.8,4.3,6,NA,0,0,0,0,21,86,107,1,Detroit R.,1066406006,353171.391
2014,ON,10,6.3,21.8,21.8,0.9,9.5,9.9,0,4,11,7,11,82,115,1,Detroit R.,1066406006,353171.391
2016,ON,35,7.5,25,25,1.6,8.9,8.9,0,0,0,16,26,75,117,1,Detroit R.,1066406006,353171.391
2018,ON,10,6.7,24.8,25.7,2,7.8,6,0,7,0,0,33,78,119,1,Detroit R.,1066406006,353171.391
2014,OH,931,9.2,22.4,23.4,3.1,8.6,NA,0,0,0,0,12,112,124,1,Detroit R.,1066406006,353171.391
2006,ON,35,7.8,24.5,24.5,2.1,8.1,NA,0,0,4,0,19,111,134,1,Detroit R.,1066406006,353171.391
2017,ON,35,7.9,23.7,24.4,2.2,8,8,0,20,0,16,48,52,135,1,Detroit R.,1066406006,353171.391
2013,ON,20,8.7,21.6,23.4,2.8,7.2,8.9,0,0,4,4,90,43,140,1,Detroit R.,1066406006,353171.391
2009,ON,21,9,22.9,24.9,2.5,3.6,NA,0,0,4,19,56,63,141,1,Detroit R.,1066406006,353171.391
2015,OH,8,8.5,21.3,21.5,2.4,8.7,NA,0,9,0,0,40,110,160,1,Detroit R.,1066406006,353171.391
2013,OH,879,6.7,21.6,25.1,0.9,2.7,NA,0,0,0,0,15,148,163,1,Detroit R.,1066406006,353171.391
2016,ON,6,7.4,24.9,25.8,2.1,8.2,8.4,0,0,0,0,121,56,177,1,Detroit R.,1066406006,353171.391
2010,ON,6,7.3,24,24.3,1.4,8.2,NA,0,11,0,0,140,61,212,1,Detroit R.,1066406006,353171.391
2017,OH,898,7.3,23.7,23.8,1.5,9.1,NA,0,0,0,0,30,187,217,1,Detroit R.,1066406006,353171.391
2012,ON,35,7.5,23.6,23.7,2.6,8.3,8.2,0,101,0,0,62,73,236,1,Detroit R.,1066406006,353171.391
2010,OH,886,6.7,24.1,24.4,2.1,6.2,NA,0,11,0,0,70,180,261,1,Detroit R.,1066406006,353171.391
2015,OH,886,7.3,21.7,21.9,0.9,6.9,NA,0,10,0,4,4,263,281,1,Detroit R.,1066406006,353171.391
2018,ON,35,7.8,24.8,24.8,2,8.1,8,0,0,0,38,19,246,303,1,Detroit R.,1066406006,353171.391
2011,OH,886,6.7,24.3,25.1,1.2,8,NA,0,0,13,0,146,149,309,1,Detroit R.,1066406006,353171.391
2014,ON,35,7.3,22.2,22.2,1.7,9.7,9.6,0,0,311,0,4,0,315,1,Detroit R.,1066406006,353171.391
2007,OH,886,6.7,23.1,24.4,1.5,6.1,NA,0,0,0,151,145,24,320,1,Detroit R.,1066406006,353171.391
2014,OH,886,6.7,22.3,22.7,3.4,8.2,NA,0,57,0,0,95,200,351,1,Detroit R.,1066406006,353171.391
2007,ON,35,7.3,21.3,22.2,1.8,8.3,NA,0,60,52,12,12,231,367,1,Detroit R.,1066406006,353171.391
2009,ON,11,8.7,23.3,23.5,2,7.5,NA,0,4,0,0,181,200,384,1,Detroit R.,1066406006,353171.391
2008,ON,6,7.1,22.2,22.6,1.9,5.8,NA,0,0,0,0,375,11,386,1,Detroit R.,1066406006,353171.391
2017,ON,6,7.6,23.3,23.8,1.5,9.3,9.5,0,0,0,132,229,66,427,1,Detroit R.,1066406006,353171.391
2012,OH,886,6.7,22.7,23.2,4.6,5.3,NA,0,0,56,0,212,160,428,1,Detroit R.,1066406006,353171.391
2012,ON,9,6,23.1,23.8,2.8,8.5,8.3,0,8,12,72,4,339,434,1,Detroit R.,1066406006,353171.391
