"","Basin","Year","Transect","Interval","NperHa","STRATUM","name","area_km2","geometry"
"14","WB",2006,1,14,34729.28832,"1","Detroit R.",929,c(-83.1842144, 41.79085293)
"15","WB",2006,1,15,19385.53777,"1","Detroit R.",929,c(-83.17792703, 41.7985228)
"16","WB",2006,1,16,14057.92074,"1","Detroit R.",929,c(-83.17162716, 41.80622938)
"17","WB",2006,1,17,9395.973191,"1","Detroit R.",929,c(-83.165045, 41.81376483)
"18","WB",2006,1,18,5997.997149,"1","Detroit R.",929,c(-83.15854133, 41.821168)
"19","WB",2006,1,19,10467.89568,"1","Detroit R.",929,c(-83.15143284, 41.82851027)
"20","WB",2006,1,20,21768.31468,"1","Detroit R.",929,c(-83.14489054, 41.83604307)
"21","WB",2006,1,21,114159.0291,"1","Detroit R.",929,c(-83.13821333, 41.8434415)
"22","WB",2006,1,22,35241.10511,"1","Detroit R.",929,c(-83.13160048, 41.85102263)
"23","WB",2006,1,23,22107.05921,"1","Detroit R.",929,c(-83.12537784, 41.85875892)
"24","WB",2006,1,24,17617.46357,"1","Detroit R.",929,c(-83.11917202, 41.86644203)
"25","WB",2006,1,25,36114.78926,"1","Detroit R.",929,c(-83.11207886, 41.87371998)
"26","WB",2006,1,26,77508.15651,"1","Detroit R.",929,c(-83.10540566, 41.88113902)
"27","WB",2006,1,27,40299.58619,"1","Detroit R.",929,c(-83.09896468, 41.88878409)
"28","WB",2006,1,28,68706.84381,"1","Detroit R.",929,c(-83.09207813, 41.89618252)
"29","WB",2006,1,29,34723.97917,"1","Detroit R.",929,c(-83.08555667, 41.90371817)
"30","WB",2006,1,30,25141.90447,"1","Detroit R.",929,c(-83.07893896, 41.91127971)
"31","WB",2006,1,31,40419.62513,"1","Detroit R.",929,c(-83.07189567, 41.91843404)
"32","WB",2006,1,32,12939.14809,"1","Detroit R.",929,c(-83.06577329, 41.92607427)
"33","WB",2006,1,33,7836.65517,"1","Detroit R.",929,c(-83.05946466, 41.93359399)
"34","WB",2006,1,34,4315.661213,"1","Detroit R.",929,c(-83.05335137, 41.9412142)
"35","WB",2006,1,35,4385.35266,"1","Detroit R.",929,c(-83.04787419, 41.94918906)
"36","WB",2006,1,36,5977.150043,"1","Detroit R.",929,c(-83.04130483, 41.95664)
"37","WB",2006,1,37,3159.336468,"1","Detroit R.",929,c(-83.03518027, 41.96433972)
"38","WB",2006,1,38,4269.664957,"1","Detroit R.",929,c(-83.02875317, 41.97196667)
"39","WB",2006,1,39,4782.815915,"1","Detroit R.",929,c(-83.02253399, 41.97942581)
"69","WB",2006,2,30,59403.77743,"1","Detroit R.",929,c(-82.90092591, 41.82908198)
"70","WB",2006,2,31,122925.059,"1","Detroit R.",929,c(-82.90150958, 41.83790895)
"71","WB",2006,2,32,71428.75936,"1","Detroit R.",929,c(-82.901475, 41.84687183)
"72","WB",2006,2,33,22125.65081,"1","Detroit R.",929,c(-82.90226264, 41.85577428)
"73","WB",2006,2,34,13555.39139,"1","Detroit R.",929,c(-82.90304829, 41.86471393)
"74","WB",2006,2,35,11151.64568,"1","Detroit R.",929,c(-82.90301225, 41.87360087)
"75","WB",2006,2,36,23592.5688,"1","Detroit R.",929,c(-82.90494, 41.882415)
"76","WB",2006,2,37,24973.24292,"1","Detroit R.",929,c(-82.9062235, 41.88913064)
"77","WB",2006,2,38,25217.74605,"1","Detroit R.",929,c(-82.90578561, 41.90055159)
"78","WB",2006,2,39,19346.71848,"1","Detroit R.",929,c(-82.90583764, 41.90909557)
"79","WB",2006,2,40,8896.317686,"1","Detroit R.",929,c(-82.9060898, 41.91800136)
"80","WB",2006,2,41,4737.016892,"1","Detroit R.",929,c(-82.90720672, 41.92688337)
"81","WB",2006,2,42,4323.945845,"1","Detroit R.",929,c(-82.90794902, 41.93581729)
"82","WB",2006,2,43,5131.363581,"1","Detroit R.",929,c(-82.90878967, 41.94483101)
"83","WB",2006,2,44,2788.783649,"1","Detroit R.",929,c(-82.90942805, 41.95376014)
"84","WB",2006,2,45,5835.31103,"1","Detroit R.",929,c(-82.90958794, 41.96257998)
"123","WB",2007,1,13,5997.33235,"1","Detroit R.",929,c(-83.1792342, 41.790901)
"124","WB",2007,1,14,6150.337718,"1","Detroit R.",929,c(-83.172905, 41.79853167)
"125","WB",2007,1,15,7350.237154,"1","Detroit R.",929,c(-83.16668263, 41.80619367)
"126","WB",2007,1,16,10341.98207,"1","Detroit R.",929,c(-83.1602755, 41.81376425)
"127","WB",2007,1,17,8789.572174,"1","Detroit R.",929,c(-83.15392874, 41.82142017)
"128","WB",2007,1,18,13322.3449,"1","Detroit R.",929,c(-83.14780708, 41.82914)
"129","WB",2007,1,19,30627.96689,"1","Detroit R.",929,c(-83.14161242, 41.83683635)
"130","WB",2007,1,20,24042.76009,"1","Detroit R.",929,c(-83.13553632, 41.84463674)
"131","WB",2007,1,21,19453.66084,"1","Detroit R.",929,c(-83.12931844, 41.85224563)
"132","WB",2007,1,22,57707.13213,"1","Detroit R.",929,c(-83.12304426, 41.85992096)
"133","WB",2007,1,23,29360.85502,"1","Detroit R.",929,c(-83.11678444, 41.867545)
"134","WB",2007,1,24,11126.67654,"1","Detroit R.",929,c(-83.11340787, 41.87152166)
"188","WB",2008,1,1,1190.506191,"1","Detroit R.",929,c(-83.11644098, 41.86713935)
"189","WB",2008,1,2,1265.768148,"1","Detroit R.",929,c(-83.11353948, 41.87051323)
"190","WB",2008,1,3,941.3772696,"1","Detroit R.",929,c(-83.10396667, 41.881155)
"191","WB",2008,1,4,929.3227391,"1","Detroit R.",929,c(-83.10216083, 41.88340124)
"192","WB",2008,1,5,2170.942957,"1","Detroit R.",929,c(-83.09287752, 41.89565906)
"193","WB",2008,1,6,8393.660722,"1","Detroit R.",929,c(-83.08813732, 41.90223278)
"194","WB",2008,1,7,11818.21233,"1","Detroit R.",929,c(-83.0820682, 41.90995654)
"195","WB",2008,1,8,7796.79467,"1","Detroit R.",929,c(-83.07546712, 41.91745825)
"196","WB",2008,1,9,2118.62033,"1","Detroit R.",929,c(-83.06963335, 41.92535059)
"197","WB",2008,1,10,834.3525826,"1","Detroit R.",929,c(-83.06337917, 41.93305223)
"198","WB",2008,1,11,499.6208261,"1","Detroit R.",929,c(-83.05708741, 41.94065744)
"199","WB",2008,1,12,331.2476435,"1","Detroit R.",929,c(-83.05068356, 41.94832041)
"200","WB",2008,1,13,833.1523826,"1","Detroit R.",929,c(-83.04444642, 41.95603435)
"201","WB",2008,1,14,1554.797652,"1","Detroit R.",929,c(-83.03840831, 41.96378241)
"202","WB",2008,1,15,2298.096843,"1","Detroit R.",929,c(-83.03168203, 41.9711708)
"203","WB",2008,1,16,1157.544409,"1","Detroit R.",929,c(-83.02475043, 41.97854832)
"204","WB",2008,1,17,474.4082174,"1","Detroit R.",929,c(-83.01804836, 41.98600971)
