site,grid,lat,lon
1,990,41.4557,-82.6428
2,996,41.4395,-82.6198
3,996,41.4493,-82.6198
4,996,41.4565,-82.5957
5,989,41.4718,-82.6507
6,984,41.4985,-82.6853
7,984,41.4885,-82.6755
8,994,41.5275,-82.601
9,987,41.5692,-82.64
11,992,41.6025,-82.599
12,986,41.607,-82.6392
13,972,41.5632,-82.7937
14,972,41.571,-82.7708
15,967,41.5647,-82.804
16,970,41.6345,-82.7635
17,975,41.6363,-82.742
18,969,41.6602,-82.7648
19,958,41.6737,-82.8648
20,952,41.6032,-82.8987
21,961,41.5668,-82.8608
22,954,41.5353,-82.8903
23,943,41.6362,-82.929
24,943,41.6658,-82.9242
25,34,41.768,-82.8925
26,931,41.7693,-82.971
27,918,41.8393,-83.055
28,911,41.8623,-83.104
29,905,41.8478,-83.136
30,8,41.8925,-83.0955
31,896,41.8903,-83.189
32,886,41.8543,-83.2283
33,898,41.8167,-83.189
34,879,41.828,-83.2673
35,888,41.7802,-83.2295
36,873,41.768,-83.3012
37,890,41.7022,-83.2478
39,874,41.743,-83.3073
41,979,41.4908,-82.7318
