year,Agency,grid,Latitude,Longitude,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total
2018,ON,90,41.6815,-82.5878,17.2,24.8,24.9,2,8.1,8.1,0,0,0,0,24,4055,4079
2018,OH,994,41.5284,-82.6017,13.5,23.6,23.6,1.8,7.7,,0,0,0,0,0,1163,1163
2015,OH,992,41.6018,-82.6,13.1,23.2,24.4,1.8,6.1,,0,39,0,8,410,2706,3164
2019,ON,101,41.8603,-82.5343,12.9,16.5,23.8,,2.6,3.3,0,0,0,0,4,163,167
2017,OH,992,41.5985,-82.589,12.8,22.5,23.4,2.1,3.6,,0,219,0,4,224,3387,3833
2013,ON,98,41.6877,-82.5447,12.7,22.5,23,1.7,7.4,8,29,79,61,0,298,2793,3259
2018,ON,98,41.701,-82.547,12.7,24.2,24.5,2.5,8.4,8.5,0,0,0,0,22,3514,3535
2015,ON,98,41.7023,-82.5505,12.6,21.7,24.1,2.1,8.6,,0,8,0,4,50,5709,5771
2011,OH,994,41.525,-82.6017,12.5,23.5,24,2.4,7.9,,0,0,0,0,5,409,414
2015,OH,994,41.5265,-82.6027,12.5,23.5,24.6,1.2,5.3,,0,954,0,0,456,4881,6291
2009,OH,994,41.5283,-82.6,12.5,22.7,25.1,3.4,4.2,,0,20,123,0,11098,5657,16899
2013,OH,994,41.5283,-82.6017,12.5,21.4,23.1,1.8,4.4,,0,0,6,0,138,775,920
2018,OH,987,41.5702,-82.6401,12.5,23.8,23.8,2,7.7,,0,9,0,0,53,3240,3302
2011,OH,992,41.6,-82.6,12.5,23.6,24.1,2.4,7.4,,0,11,7,0,5,15,38
2018,OH,992,41.6002,-82.5925,12.5,23.9,24,2.1,7.9,,0,9,0,0,19,2437,2465
2016,OH,992,41.6008,-82.5913,12.5,24.1,24.1,3.1,8.1,,0,0,0,0,12,770,783
2014,OH,992,41.6018,-82.6,12.5,22.2,22.8,2.1,7.9,,0,29,0,0,108,1684,1821
2009,OH,992,41.6033,-82.5983,12.5,22.6,26,3.7,5.6,,0,41,0,0,186,197,424
2006,OH,992,41.6033,-82.6,12.5,24.1,24.7,2.1,9,,0,10,0,4,748,920,1681
2013,OH,992,41.6033,-82.6,12.5,21.8,23.1,2.7,4.9,,0,161,956,0,199,3791,5107
2007,ON,98,41.6985,-82.5513,12.5,24.3,24.5,3,7.9,,0,4,70,0,25,9916,10016
2006,ON,98,41.6995,-82.5477,12.5,23.6,23.7,2.8,6,,0,0,0,0,26,130,156
2008,ON,98,41.6997,-82.5513,12.5,22.6,23,2.5,7.6,,0,0,4,0,84,0,88
2016,ON,98,41.7032,-82.5472,12.5,23.7,26.2,3.8,3.4,6.1,0,0,0,0,31,62,94
2009,ON,98,41.7008,-82.5498,12.4,22.8,23.4,2.2,7.1,,0,0,0,0,43,1273,1316
2014,ON,98,41.7015,-82.5512,12.4,22.9,22.9,2.5,9.6,9.5,0,0,0,0,42,1314,1356
2012,ON,98,41.7022,-82.5477,12.4,21.3,23.9,2.2,3.6,4.2,0,756,97,0,52,59,965
2017,ON,98,41.7023,-82.5493,12.4,22.7,23.6,2.3,6,6.3,0,18,4,0,86,2409,2517
2018,ON,101,41.8602,-82.5328,12.4,19.8,24.9,1.5,4.3,4.8,0,0,0,0,23,1790,1813
2010,ON,98,41.6997,-82.5447,12.3,22.6,23.2,1.9,7.4,,0,0,0,0,27,315,342
2014,OH,994,41.5265,-82.6027,12.2,22.1,23.2,1.8,7.9,,0,0,6,0,194,1710,1910
2006,OH,994,41.5283,-82.6033,12.2,24,24.2,1.8,8.4,,0,0,0,0,288,998,1286
2007,OH,994,41.5283,-82.6033,12.2,23.2,23.4,1.8,,,0,73,63,0,170,1614,1920
2008,OH,994,41.5283,-82.6033,12.2,22.5,22.5,0.6,8.3,,0,0,0,28,476,614,1118
2017,OH,987,41.5686,-82.6383,12.2,21.8,23.3,2.1,3,,0,0,0,0,4,4,8
2015,OH,987,41.5692,-82.6415,12.2,23.5,24.7,1.5,6.6,,0,104,24,0,546,4898,5572
2012,OH,992,41.6033,-82.6,12.2,23.6,24.5,2.7,4.8,,0,20,112,0,45,3944,4120
2007,OH,992,41.6033,-82.6,12.2,22.7,23.1,1.5,,,0,0,6,0,35,1580,1621
2008,OH,992,41.6033,-82.6,12.2,22.3,22.3,0.9,8.1,,0,0,0,0,1091,821,1911
2017,OH,986,41.6058,-82.6376,12.2,23.2,23.5,1.5,6.6,,0,0,0,12,301,2753,3066
2018,OH,986,41.6075,-82.6403,12.2,23.9,24.1,1.5,7.7,,0,9,0,0,84,1730,1823
2007,OH,986,41.6083,-82.6383,12.2,23.1,23.2,1.8,,,0,0,207,0,103,1498,1807
2017,ON,101,41.8585,-82.5318,12.2,19.7,22,1.5,6.7,6.7,0,0,0,0,1990,610,2599
2017,ON,98,41.683,-82.5823,12.1,23.4,23.6,2,7.8,8,0,15,0,0,2547,5036,7598
2015,ON,90,41.6865,-82.5833,12.1,21.6,24.9,1.8,5.6,6.1,0,0,0,0,87,686,773
2015,ON,101,41.8612,-82.5353,12.1,20.8,24.8,2.3,4.3,5.2,0,0,0,0,293,538,831
2019,ON,59,41.8892,-82.7212,12.1,24.4,24.6,1.9,7.1,7.5,0,12,12,0,267,8214,8505
2019,ON,51,41.8998,-82.7813,12.1,24.6,26,,6.9,6.9,0,0,0,0,146,1175,1321
2013,ON,98,41.6837,-82.5805,12,22.2,23.5,2.6,6.5,6.2,8,8,92,4,188,2670,2969
2011,ON,98,41.6815,-82.5797,12,23.5,23.7,1.8,8,,0,0,642,0,85,538,1265
2011,ON,101,41.8538,-82.5327,12,14.7,21.9,1.2,6.4,,0,0,22,0,133,125,280
2013,ON,101,41.8565,-82.5325,12,22.2,22.4,2.7,7.4,8.1,0,0,0,16,406,586,1008
2019,ON,31,41.887,-82.8775,12,24.4,25.8,,7.3,7.5,0,0,0,9,493,1725,2227
2012,OH,994,41.5283,-82.6017,11.9,23.5,24.3,2.1,4.8,,0,285,192,0,79,8884,9439
2009,OH,987,41.5667,-82.64,11.9,22.5,25.7,0.9,5.9,,0,23,103,0,24575,1595,26295
2011,OH,987,41.5683,-82.6417,11.9,24.1,24.3,1.8,7.4,,0,308,13,0,13,2017,2352
2014,OH,987,41.5692,-82.6415,11.9,22.4,22.6,2.4,8.5,,0,0,0,0,71,2264,2335
2013,OH,987,41.57,-82.64,11.9,21.8,22.9,2.1,5.3,,0,0,310,0,582,1045,1937
2016,OH,987,41.5704,-82.6404,11.9,21.6,23.7,3.7,4.3,,0,0,0,0,0,26,26
2011,OH,986,41.6017,-82.6417,11.9,23.8,24,3.4,6.5,,0,0,0,0,0,70,70
2009,OH,986,41.605,-82.6383,11.9,22.4,25.4,2.7,3.6,,0,98,1793,0,3059,16598,21548
2015,OH,986,41.6067,-82.6412,11.9,23.3,24.2,1.8,7,,0,9,0,20,474,2480,2983
2014,OH,986,41.6067,-82.6412,11.9,22.4,22.6,1.8,8.2,,0,21,20,0,13,600,655
2016,OH,986,41.6082,-82.6396,11.9,24.1,24.1,2.4,8,,0,0,0,0,19,4420,4440
2010,ON,98,41.682,-82.5788,11.9,22.6,23,2,8,,0,0,0,0,19,757,776
2016,ON,90,41.6853,-82.5847,11.9,24.9,25,2,8.4,8.4,0,0,0,4,18,477,498
2012,ON,90,41.6822,-82.5847,11.8,23.5,23.6,2.3,7.9,8,0,67,100,7,63,5671,5908
