year,Agency,grid,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total,DISCHARGE,AREA,PERIMETER
2006,ON,67,10.9,24.6,24.7,1.5,8.1,NA,0,0,4,12,68,1936,2020,Pidgeon Bay,290988370.2,91099.594
2006,ON,42,10.8,24.7,24.7,1.4,6.8,NA,0,12,4,8,66,803,894,Pidgeon Bay,290988370.2,91099.594
2006,ON,66,10.8,24.7,24.7,1.5,7.4,NA,0,8,120,16,44,370,558,Pidgeon Bay,290988370.2,91099.594
2006,ON,92,10.7,24.1,24.2,2,7.1,NA,0,44,68,0,303,108,522,Pidgeon Bay,290988370.2,91099.594
2006,ON,99,10,24.8,24.5,1.5,9,NA,0,0,7,4,136,93,240,Pidgeon Bay,290988370.2,91099.594
2006,ON,49,9.1,24.4,24.4,1.6,8,NA,0,15,42,146,196,1790,2190,Pidgeon Bay,290988370.2,91099.594
2006,ON,91,9,23.3,24.6,1.8,6.6,NA,0,0,28,0,0,20,48,Pidgeon Bay,290988370.2,91099.594
2006,ON,56,7.6,24.5,24.9,1.5,7,NA,4,5953,100,96,15,4410,10578,Pidgeon Bay,290988370.2,91099.594
2006,ON,19,7.5,24.5,24.5,1.3,6.7,NA,0,81,511,63,63,2671,3388,Pidgeon Bay,290988370.2,91099.594
2006,OH,958,8.5,24.6,25.1,2.1,8,NA,0,20,413,0,371,14725,15530,Maumee R.,915615454.3,336325.905
2006,OH,943,8.2,24.5,25.2,1.5,8.2,NA,0,214,710,0,250,8674,9848,Maumee R.,915615454.3,336325.905
2006,OH,943,7.3,24.5,25.2,1.8,8.4,NA,0,3591,68,224,374,639,4896,Maumee R.,915615454.3,336325.905
2006,OH,952,6.7,24.2,25.1,1.5,7.3,NA,0,51,6,43,504,2399,3003,Maumee R.,915615454.3,336325.905
2006,OH,888,6.7,24.1,26.7,0.9,6.7,NA,0,47,382,712,83,3400,4625,Maumee R.,915615454.3,336325.905
2006,OH,873,5.8,23.7,27,0.9,5.3,NA,0,0,0,586,63,5133,5782,Maumee R.,915615454.3,336325.905
2006,OH,890,5.5,23.9,27.3,0.9,7.1,NA,0,0,12,180,0,1398,1590,Maumee R.,915615454.3,336325.905
2006,OH,874,4.9,23.8,25.8,0.6,5,NA,0,0,0,0,216,53,269,Maumee R.,915615454.3,336325.905
2006,OH,996,9.2,24.2,24.4,1.2,8.4,NA,0,0,87,0,63,521,672,Sandusky R.,252583059.7,199050.171
2006,OH,989,6.1,24,24.21,1.2,9.1,NA,0,410,991,8,81,497,1987,Sandusky R.,252583059.7,199050.171
2006,OH,990,4.3,23.9,24,1.1,9.1,NA,0,214,103,4,212,910,1444,Sandusky R.,252583059.7,199050.171
2006,OH,984,3.2,23.8,23.9,0.9,8.7,NA,0,147,130,50,54,4399,4780,Sandusky R.,252583059.7,199050.171
2006,OH,979,1.9,23.8,23.8,0.3,7.6,NA,0,3808,3751,0,45,2268,9872,Sandusky R.,252583059.7,199050.171
